INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Pima Medical Institute-Tucson,https://pmi.edu/,NA,NA,NA,9500,2619,0.4846,0.3276,0.1027,0.3765,0.0668,0.0221,0.0095,0.084,4e-4,0.0103,NA,NA,Tucson,AZ,0,1
Pima Medical Institute-Albuquerque,https://pmi.edu/,NA,NA,NA,5500,737,0.5995,0.1493,0.0204,0.5346,0.019,0.1737,0.0041,0.095,0,0.0041,NA,NA,Albuquerque,NM,0,1
Prescott College,https://prescott.edu/,NA,0.9857,NA,16300,253,0.4728,0.6759,0.0316,0.0632,0.0514,0.004,0.004,0.004,0,0.166,0.4,47228,Prescott,AZ,0,1
Refrigeration School Inc,https://www.rsi.edu/,NA,NA,NA,8233,1271,0.6661,0.2769,0.1448,0.3674,0.0126,0.1652,0.011,0.0016,0,0.0205,NA,NA,Phoenix,AZ,0,1
Rio Salado College,www.rio.maricopa.edu/,NA,NA,NA,9500,4879,0.073,0.3958,0.1373,0.337,0.0326,0.0176,0.0035,0.0465,0.0037,0.026,NA,13740,Tempe,AZ,1,1
Roberto-Venn School of Luthiery,www.roberto-venn.com/,NA,NA,NA,NA,15,0.1957,0.8667,0.0667,0,0.0667,0,0,0,0,0,NA,NA,Phoenix,AZ,0,1
Scottsdale Community College,www.scottsdalecc.edu/,NA,NA,NA,8000,4274,0.1358,0.4871,0.0442,0.2983,0.0325,0.0487,7e-4,0.0559,0.0112,0.0213,NA,19682,Scottsdale,AZ,1,0
South Mountain Community College,www.southmountaincc.edu/,NA,NA,NA,8000,2612,0.2736,0.1524,0.1436,0.5674,0.0214,0.0436,0.0015,0.041,0.005,0.0241,NA,17872,Phoenix,AZ,1,1
Arizona Christian University,arizonachristian.edu/,NA,0.7442,NA,23000,1127,0.3318,0.4845,0.1118,0.2671,0.0115,0.008,0.0115,0.0736,0.0275,0.0044,0.3583,50950,Glendale,AZ,0,1
Universal Technical Institute of Arizona Inc,www.uti.edu/,NA,NA,NA,13124,1791,0.4444,0.3674,0.0318,0.3685,0.0313,0.0419,0.0262,0.1106,0,0.0223,NA,NA,Avondale,AZ,0,1
Yavapai College,https://www.yc.edu/,NA,NA,NA,9000,3732,0.1949,0.6109,0.0158,0.2337,0.0134,0.0263,0.0048,0.0399,0.0048,0.0504,NA,12642,Prescott,AZ,1,1
University of Arkansas at Little Rock,ualr.edu/www/,1049,0.5774,NA,22000,4740,0.4105,0.5,0.2618,0.0304,0.0194,0.0089,2e-4,0.143,0.0287,0.0076,0.3952,21013,Little Rock,AR,1,1
