INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Velvatex College of Beauty Culture,12,0.0833,0.9167,0,1,0,0,0,0,0,0,0,0.5714
University of Arkansas-Fort Smith,4133,0.3879,0.6121,0.578,0.0387,0.1914,0.0486,0.0223,5e-4,0.1074,0.0131,0,0.3914
Academy of Art University,4131,0.4219,0.5781,0.2583,0.1169,0.1997,0.0649,0.0044,0.0053,0.0605,0.1467,0.1433,0.4176
College of Alameda,4274,0.424,0.576,0.1685,0.1975,0.2782,0.2267,0.0028,0.0047,0.0739,0.0136,0.0342,0.0993
Allan Hancock College,7812,0.4654,0.5346,0.1918,0.0188,0.7021,0.0301,0.0032,0.0055,0.0301,0.002,0.0164,0.2327
American Academy of Dramatic Arts-Los Angeles,169,0.4201,0.5799,0.3491,0.1065,0.1243,0.0296,0,0,0.0828,0.3077,0,0.2785
Berkeley School of Theology,28,0.6786,0.3214,0.0357,0.25,0.4286,0.0357,0,0.0714,0,0.1786,0,0
American Beauty College,250,0.212,0.788,0.112,0.08,0.744,0.04,0.008,0,0,0,0.016,0.5763
American Career College-Los Angeles,2066,0.2318,0.7682,0.0639,0.1254,0.6326,0.121,0.0039,0.0097,0.0402,0,0.0034,0.5888
American River College,25758,0.5363,0.4637,0.3615,0.0696,0.329,0.1117,0.0056,0.0086,0.0521,0.0017,0.0602,0.1989
Antelope Valley Community College District,10905,0.4313,0.5687,0.1295,0.1346,0.6481,0.0343,0.0022,0.0014,0.0375,0.0019,0.0105,0.4203
Art Center College of Design,2054,0.409,0.591,0.0944,0.0151,0.1013,0.3043,0,0.0024,0.0394,0.443,0,0.245
Associated Technical College-Los Angeles,159,0.3145,0.6855,0.3019,0.3774,0.2201,0.0063,0,0,0.0566,0,0.0377,0.6218
Associated Technical College-San Diego,77,0.4935,0.5065,0.1169,0.039,0.7532,0.013,0.013,0.0519,0.013,0,0,0.8939
Azusa Pacific University,2977,0.3161,0.6839,0.2623,0.0665,0.3839,0.1407,0.004,0.0094,0.0527,0.0417,0.0386,0.3465
Bakersfield College,16451,0.4493,0.5507,0.2095,0.0551,0.6509,0.0381,0.0031,0.0011,0.034,0.0031,0.005,0.2876
Barstow Community College,2585,0.3451,0.6549,0.2139,0.1981,0.4476,0.0375,0.0062,0.0081,0.075,0.0015,0.012,0.4745
Bellus Academy-Chula Vista,379,0.1478,0.8522,0.1029,0.0871,0.6438,0.0712,0.0026,0.0158,0.066,0.0053,0.0053,0.6065
