INSTNM,INSTURL,SAT_AVG,ADM_RATE,IS_PUBLIC,IS_CITY
Hilltop Beauty School,www.hilltopbeautyschool.com/,NA,NA,0,1
Pacifica Graduate Institute,www.pacifica.edu/,NA,NA,0,0
California State Polytechnic University-Humboldt,www.humboldt.edu/,NA,0.9883,1,0
Humphreys University-Stockton and Modesto Campuses,www.humphreys.edu/,NA,NA,0,1
Imperial Valley College,www.imperial.edu/,NA,NA,1,0
Institute for Business and Technology,https://ibt.edu/,NA,NA,0,1
Interior Designers Institute,https://www.idi.edu/,NA,NA,0,1
Irvine Valley College,https://www.ivc.edu/,NA,NA,1,1
Bellus Academy-El Cajon,www.bellusacademy.edu/,NA,NA,0,1
American Jewish University,www.aju.edu/,NA,NA,0,1
Reedley College,www.reedleycollege.edu/,NA,NA,1,0
Life Pacific University,https://lifepacific.edu/,NA,0.9395,0,1
University of La Verne,https://www.laverne.edu/,1116,0.4848,0,1
Laguna College of Art and Design,www.lcad.edu/,NA,0.7761,0,0
Lake Tahoe Community College,www.ltcc.edu/,NA,NA,1,0
Lancaster Beauty School,www.lancasterbeautyschool.com/,NA,NA,0,1
Laney College,laney.edu/,NA,NA,1,1
Lassen Community College,www.lassencollege.edu/,NA,NA,1,0
Latin American Bible Institute,labi.edu/,NA,0.6818,0,1
Life Chiropractic College West,www.lifewest.edu/,NA,NA,0,1
Lincoln University,https://lincolnuca.edu/,NA,NA,0,1
Southern California Seminary,www.socalsem.edu/,NA,NA,0,1
La Sierra University,https://lasierra.edu/,NA,0.933,0,1
Loma Linda University,www.llu.edu/index.html,NA,NA,0,1
Long Beach City College,www.lbcc.edu/,NA,NA,1,1
Southern California University of Health Sciences,https://www.scuhs.edu/,NA,NA,0,1
Los Angeles Harbor College,https://www.lahc.edu/,NA,NA,1,1
Los Angeles Pierce College,www.lapc.edu/,NA,NA,1,1
Los Angeles Southwest College,https://www.lasc.edu/,NA,NA,1,1
Los Angeles Trade Technical College,www.lattc.edu/,NA,NA,1,1
Los Angeles Valley College,www.lavc.edu/,NA,NA,1,1
The Master's University and Seminary,www.masters.edu/,NA,0.7589,0,1
Los Angeles City College,www.lacitycollege.edu/,NA,NA,1,1
Los Angeles County College of Nursing and Allied Health,https://dhs.lacounty.gov/college-of-nursing-and-allied-health/,NA,NA,1,1
Los Angeles Mission College,https://www.lamission.edu/,NA,NA,1,1
Los Medanos College,https://www.losmedanos.edu/,NA,NA,1,1
Loyola Marymount University,https://www.lmu.edu/,NA,0.4029,0,1
Lu Ross Academy,www.lurossacademy.com/,NA,NA,0,1
Lyle's College of Beauty,lylescolleges.com/,NA,NA,0,1
Lyle's College of  Beauty,lylescolleges.com/,NA,NA,0,1
Lytles Redwood Empire Beauty College,www.lytlesrebc.edu/,NA,NA,0,1
MTI College,campus.edu/,NA,0.8193,0,1
